GEO_codes,GEO_labels,TFR_2020
ES70,Canarias,0.88
ES12,Principado de Asturias,0.92
ITG2,Sardegna,0.97
ES11,Galicia,1.02
ITF2,Molise,1.06
ES13,Cantabria,1.07
ES41,Castilla y León,1.10
ES53,Illes Balears,1.12
MT00,Malta,1.13
ITF5,Basilicata,1.14
PT30,Região Autónoma da Madeira (PT),1.15
ITI2,Umbria,1.16
ES30,Comunidad de Madrid,1.16
ITI1,Toscana,1.17
ITF1,Abruzzo,1.17
HU11,Budapest,1.17
ITI4,Lazio,1.18
ITF4,Puglia,1.18
ITI3,Marche,1.19
ES24,Aragón,1.20
ES43,Extremadura,1.20
PL72,Swietokrzyskie,1.20
AL03,Jug,1.21
ES52,Comunitat Valenciana,1.21
ES42,Castilla-la Mancha,1.22
PT20,Região Autónoma dos Açores (PT),1.23
ITC3,Liguria,1.23
ITC2,Valle d'Aosta/Vallée d'Aoste,1.23
ES51,Cataluña,1.23
EL64,Sterea Ellada,1.24
ITC1,Piemonte,1.25
ES21,País Vasco,1.25
EL54,Ipeiros,1.25
ES61,Andalucía,1.25
PT11,Norte,1.26
ITF6,Calabria,1.26
PT16,Centro (PT),1.26
ITH4,Friuli-Venezia Giulia,1.26
ITH5,Emilia-Romagna,1.26
ITC4,Lombardia,1.27
AL02,Qender,1.27
PL42,Zachodniopomorskie,1.27
PL52,Opolskie,1.28
ITH3,Veneto,1.28
PL81,Lubelskie,1.28
CH07,Ticino,1.28
AT13,Wien,1.29
ES23,La Rioja,1.29
PL62,Warminsko-Mazurskie,1.30
EL52,Kentriki Makedonia,1.30
ITF3,Campania,1.30
FI1B,Helsinki-Uusimaa,1.30
TR81,"Zonguldak, Karabük, Bartin",1.31
MK00,Severna Makedonija,1.31
AT11,Burgenland (AT),1.32
PL61,Kujawsko-Pomorskie,1.32
EL61,Thessalia,1.32
PL43,Lubuskie,1.32
FI1C,Etelä-Suomi,1.32
ES22,Comunidad Foral de Navarra,1.33
EL53,Dytiki Makedonia,1.33
ITG1,Sicilia,1.33
PL82,Podkarpackie,1.33
PL22,Slaskie,1.34
EL51,"Anatoliki Makedonia, Thraki",1.34
PL71,Lódzkie,1.35
PL84,Podlaskie,1.35
PL51,Dolnoslaskie,1.35
EL63,Dytiki Ellada,1.35
FRM0,Corse,1.36
LU00,Luxembourg,1.36
CY00,Kypros,1.36
ITH2,Provincia Autonoma di Trento,1.36
LT01,Sostines regionas,1.37
NL11,Groningen,1.37
RS22,Region Juzne i Istocne Srbije,1.37
BG32,Severen tsentralen,1.38
DE30,Berlin,1.38
EL65,Peloponnisos,1.38
FI19,Länsi-Suomi,1.39
EL30,Attiki,1.39
TR31,Izmir,1.39
SK02,Západné Slovensko,1.40
NO02,Innlandet,1.40
NO07,Nord-Norge,1.41
AT22,Steiermark,1.41
CH04,Zürich,1.42
TR51,Ankara,1.42
NL42,Limburg (NL),1.42
DE60,Hamburg,1.42
PL92,Mazowiecki regionalny,1.43
DED5,Leipzig,1.43
AT21,Kärnten,1.43
NL32,Noord-Holland,1.43
HR03,Jadranska Hrvatska,1.44
BG41,Yugozapaden,1.44
PT18,Alentejo,1.44
CH01,Région lémanique,1.44
BE22,Prov. Limburg (BE),1.45
DEB2,Trier,1.45
TR22,"Balikesir, Çanakkale",1.45
ES62,Región de Murcia,1.45
LI00,Liechtenstein,1.46
BG33,Severoiztochen,1.46
NO06,Trøndelag,1.46
AT33,Tirol,1.46
DE72,Gießen,1.46
PL21,Malopolskie,1.47
CH03,Nordwestschweiz,1.47
RS11,Beogradski region,1.47
TR10,Istanbul,1.47
DEA2,Köln,1.48
DEC0,Saarland,1.48
DE12,Karlsruhe,1.48
BE31,Prov. Brabant wallon,1.48
CH02,Espace Mittelland,1.49
HU22,Nyugat-Dunántúl,1.49
AT12,Niederösterreich,1.49
DE24,Oberfranken,1.49
DE80,Mecklenburg-Vorpommern,1.50
RS12,Region Vojvodine,1.50
TR83,"Samsun, Tokat, Çorum, Amasya",1.50
BE23,Prov. Oost-Vlaanderen,1.50
FI1D,Pohjois- ja Itä-Suomi,1.51
CZ01,Praha,1.51
TR61,"Antalya, Isparta, Burdur",1.51
DE21,Oberbayern,1.51
SK03,Stredné Slovensko,1.51
DE71,Darmstadt,1.51
DEF0,Schleswig-Holstein,1.51
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",1.52
PL41,Wielkopolskie,1.52
TR82,"Kastamonu, Çankiri, Sinop",1.52
RS21,Region Sumadije i Zapadne Srbije,1.52
FI20,Åland,1.52
ES63,Ciudad de Ceuta,1.52
CH06,Zentralschweiz,1.53
NL41,Noord-Brabant,1.53
